,size,density,matrix_memory,list_memory,matrix_connect_time,list_connect_time,matrix_neighbors_time,list_neighbors_time
0,100,0.01,78.25,4.578125,1.200009137392044e-06,3.999739419668913e-07,2.7900008717551827e-05,2.00001522898674e-07
1,100,0.1,78.25,4.578125,9.999785106629133e-07,6.00004568696022e-07,2.7700007194653153e-05,3.00002284348011e-07
2,500,0.01,1953.25,18.078125,1.300009898841381e-06,4.999747034162283e-07,0.00013380000018514693,2.00001522898674e-07
3,500,0.1,1953.25,18.078125,2.9999937396496534e-06,9.00006853044033e-07,0.0001328999933321029,2.00001522898674e-07
4,1000,0.01,7812.625,36.0859375,7.399998139590025e-06,1.300009898841381e-06,0.000294700002996251,4.00003045797348e-07
5,1000,0.1,7812.625,36.0859375,5.89998671784997e-06,2.400018274784088e-06,0.000291000003926456,2.00001522898674e-07
